Altium Designer Pick and Place Locations
C:\Users\cdemolde\Documents\GitHub\GT-BITNG\Projects\Development_Board\Electronics\X01\DB-X01\Project Outputs for DB-X01\Pick Place\Pick Place for DB_Main-X01.txt

========================================================================================================================
File Design Information:

Date:       25/06/20
Time:       00:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                    
L1         "WIRELESS CHARGING COIL, RECEIVER" BottomLayer 760308101219                  3100.000      2691.260      180      "General Purpose Inductor, 11.8uH, 10%, 1 Element"                                                                                                             
U16        BQ51013BRHLR                       TopLayer    RHL0020A_V                    2458.894      2515.039      90       "WPC 1.1 Compatible Fully Integrated Wireless Power Receiver IC, 4 V Min Input, 20-pin VQFN (RHL), Green (RoHS & no Sb/Br)"                                    
J8         "M2/2-56 Mounting Hole"            TopLayer    Mounting_Hole                 2300.000      580.000       0        ""                                                                                                                                                             
J7         "M2/2-56 Mounting Hole"            TopLayer    Mounting_Hole                 1140.000      1390.000      0        ""                                                                                                                                                             
J6         "M2/2-56 Mounting Hole"            TopLayer    Mounting_Hole                 3780.000      130.000       0        ""                                                                                                                                                             
J5         "M2/2-56 Mounting Hole"            TopLayer    Mounting_Hole                 750.000       2850.000      0        ""                                                                                                                                                             
R32        3.3kR                              TopLayer    R0402                         2510.000      929.685       270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 3300ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                    
R31        3.3kR                              TopLayer    R0402                         2600.000      950.000       270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 3300ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                    
R30        3.3kR                              TopLayer    R0402                         2550.000      329.685       270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 3300ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                    
R29        22R                                TopLayer    R0402                         939.685       2590.000      360      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 22ohm, 50V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                      
R28        22R                                TopLayer    R0402                         939.685       2540.000      360      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 22ohm, 50V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                      
U15        SN74LVC1G32DCKR                    TopLayer    DCK0005A_N                    1904.291      1590.000      0        "Single 2-Input Positive-OR Gate, DCK0005A, LARGE T&R"                                                                                                         
U14        MAX30003CTI+                       TopLayer    QFN50P500X500X80-29N          2950.000      1020.000      180      "Analog Circuit, 1 Func, CMOS"                                                                                                                                 
U13        ADP160                             TopLayer    ADP160                        2179.843      1579.842      360      "Fixed Positive LDO Regulator, 1.8V, 0.195V Dropout, CMOS, PBGA4"                                                                                              
U12        ADP160                             TopLayer    ADP160                        2770.000      1880.000      360      "Fixed Positive LDO Regulator, 3.3V, 0.195V Dropout, CMOS, PBGA4"                                                                                              
TP19       S1751-46R                          TopLayer    S1751-46R                     2450.000      1170.000      0        "PC TEST POINT TIN SMD"                                                                                                                                        
