Change Component Description : Designator=R1 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=R2 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=R3 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=U6 Old Description=3V LDO New Description=Fixed Positive LDO Regulator, 3V, 0.1V Dropout, CMOS, PBGA4
Change Component Description : Designator=U8 Old Description=3V LDO New Description=Fixed Positive LDO Regulator, 3V, 0.1V Dropout, CMOS, PBGA4
Change Component Description : Designator=U7 Old Description=Digital Switch Unipolar Switch Open Drain Hall Effect SNT-4A New Description=MAGNETIC SWITCH UNIPOLAR SNT-4A
Change component parameters: Designator = "L5" ("L5"); Footprint = "L0402"; UniqueID = "\KGUBJTOU" ("\KGUBJTOU")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Inductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/ABRC/ABRC-S-A0009700385/ABRC-S-A0009751294-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/ABRC/ABRC-S-A0009700385/ABRC-S-A0009751294-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/26928/getdatasheetpartid-762366-26928064.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/26928/getdatasheetpartid-762366-26928064.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/11140/aisc-0402-11140262.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/11140/aisc-0402-11140262.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054030.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054030.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054031.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054031.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054032.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/1054/aisc-0402-1054032.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Wirewound,Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1.04A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = "1.04A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "70mR"; VariantName = "[No Variations]"
