Altium Designer Pick and Place Locations
C:\Users\cdemolde\Documents\GitHub\GT-BITNG\Projects\PNW\Electrical\Sensor_Glove-X01\Project Outputs for Sensor_Glove-X01\Pick Place\Pick Place for Sensor_Glove-X01.txt

========================================================================================================================
File Design Information:

Date:       29/09/20
Time:       12:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                            Layer    Footprint           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                    
B1         "40 mAh BATTERY"                   TopLayer BATTERY             0.000         0.000         270      "Lithium Battery 3.7V 40mAh Rechargeable"                                                                                                                      
J4         "JUMPER WITH 40 mAh BATTERY"       TopLayer JUMPER_BATTERY      1170.000      780.000       360      "Lithium Battery 3.7V 40mAh Rechargeable"                                                                                                                      
TP9        JUMPER                             TopLayer JUMPER              2170.000      650.000       180      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
TP8        JUMPER                             TopLayer JUMPER              2170.000      790.000       180      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
TP7        JUMPER                             TopLayer JUMPER              2170.000      930.000       180      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
TP4        JUMPER                             TopLayer JUMPER              2170.000      510.000       180      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
TP2        JUMPER                             TopLayer JUMPER              2170.000      370.000       180      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
R21        ""                                 TopLayer R0402               1990.000      630.315       90       "___ OHM ___ mW 0402(1005) SMD"                                                                                                                                
R20        ""                                 TopLayer R0402               1990.000      809.685       270      "___ OHM ___ mW 0402(1005) SMD"                                                                                                                                
R3         ""                                 TopLayer R0402               1990.000      910.315       90       "___ OHM ___ mW 0402(1005) SMD"                                                                                                                                
R2         ""                                 TopLayer R0402               1990.000      529.685       270      "___ OHM ___ mW 0402(1005) SMD"                                                                                                                                
R1         ""                                 TopLayer R0402               1990.000      350.315       90       "___ OHM ___ mW 0402(1005) SMD"                                                                                                                                
U9         BQ25100YFPT                        TopLayer YZP0006             238.852       1085.164      0        "Power Supply Support Circuit"                                                                                                                                 
U8         DRV5032FBDBZR                      TopLayer FP-DBZ0003A-MFG     762.598       781.339       90       "LP HALL 32FBDBZR"                                                                                                                                             
U6         SN74LVC1G80DBVR                    TopLayer DBV0005A_N          900.000       620.000       90       "Single Positive-Edge-Triggered D-Type Flip-Flop, DBV0005A, LARGE T&R"                                                                                         
U5         SN74LVC1G57DBVR                    TopLayer DBV0006A_M          121.929       867.402       360      "CONFIGURABLE MULTIPLE-FUNCTION GATE, DBV0006A, LARGE T&R"                                                                                                     
TP37       JUMPER                             TopLayer JUMPER              90.000        1110.000      90       "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
TP1        JUMPER                             TopLayer JUMPER              1350.000      90.000        360      "SHUNT LP W/HANDLE 2 POS 30AU"                                                                                                                                 
R18        1MR                                TopLayer R0402               230.000       810.315       270      "Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 1000000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"                                                 
